date,study_day,time_period,time_window,887 Free Feed Control,883 Free Feed Control,884 Free Feed low,892 Free Feed Low,864 Free Feed Med,889 Free Feed Med,869 Free Feed high,894 Free Feed High,886 Free Feed High,893 IP Control,865 IP High,872 IP High
3-Aug,13,Dose 7,Post Dose 3,243.4285714,399.7,422.8,361.5714286,392.2285714,532.4428571,398.4428571,429.7857143,446.5428571,402.9142857,527.7142857,437.1428571
3-Aug,13,Dose 7,Post Dose 4,277.8,483.9428571,431.3857143,288.3571429,360.8857143,508.9857143,348.0571429,446.4857143,407.9857143,385.9857143,467.5714286,434.9857143
3-Aug,13,Dose 7,Post Dose 5,235.0571429,454.5571429,405.4714286,393.5285714,427.4,486.5571429,391.1571429,430.1,389.6285714,400.1142857,511.2285714,421.7857143
3-Aug,13,Dose 7,Post Dose 6,272.6285714,503.0428571,430.5428571,343.7142857,385.8714286,540.4857143,345.5857143,438.6857143,483.3142857,407.2428571,498.5,403.7285714
4-Aug,14,NonDose7,PreDose,342.7,441.9,436.2571429,364.1428571,434.1142857,467.1714286,385.8428571,469.6857143,434.1571429,383.7285714,440.1857143,393.4
4-Aug,14,NonDose7,Dose,268.1571429,458.5714286,456.1857143,405.9285714,445.3571429,446.8285714,414.3428571,439.7714286,410.2285714,350.7571429,453.7428571,420.4285714
4-Aug,14,NonDose7,Post Dose 1,309.5571429,435.2571429,433.3285714,385.6857143,434.9,519.5142857,371.9,415.6571429,436.4142857,442.4285714,467.4857143,381.5428571
4-Aug,14,NonDose7,Post Dose 2,275.5142857,494.8428571,402.5857143,386.6857143,419.3285714,433.3571429,362.0857143,420.6571429,447.5714286,397.1571429,441.8142857,369.9
4-Aug,14,NonDose7,Post Dose 3,341.5,434.1571429,450.8285714,365.9285714,354.2,529.7571429,372.9428571,436.3857143,409.3714286,376.9857143,467.3428571,390.3857143
4-Aug,14,NonDose7,Post Dose 4,244.5,500.4571429,383.6714286,359.3571429,399.8571429,475.6857143,403.9857143,464.1571429,434.0285714,434.0714286,466.1428571,421.5857143
4-Aug,14,NonDose7,Post Dose 5,345.3142857,440.2428571,466.3571429,387.4714286,426.9857143,566.3571429,414.4428571,442.0285714,428.8857143,377.4285714,447.4,360.5142857
4-Aug,14,NonDose7,Post Dose 6,358.0714286,476.6571429,396.1,309.8285714,423.3,473.4857143,344.6285714,439.7428571,408.2857143,415.1142857,457.5857143,413.8857143
